序号,日期时间,电价_$/MWh,数据来源
57,2024-01-05 00:40:00,60.93,来自2024年1月文件
58,2024-01-05 00:45:00,60.25,来自2024年1月文件
59,2024-01-05 00:50:00,59.06,来自2024年1月文件
60,2024-01-05 00:55:00,58.65,来自2024年1月文件
61,2024-01-06 00:00:00,55.47,来自2024年1月文件
62,2024-01-06 00:05:00,50.33,来自2024年1月文件
63,2024-01-06 00:10:00,58.64,来自2024年1月文件
64,2024-01-06 00:15:00,51.92,来自2024年1月文件
65,2024-01-06 00:20:00,50.93,来自2024年1月文件
66,2024-01-06 00:25:00,50.32,来自2024年1月文件
67,2024-01-06 00:30:00,50.47,来自2024年1月文件
68,2024-01-06 00:35:00,55.9,来自2024年1月文件
69,2024-01-06 00:40:00,49.54,来自2024年1月文件
70,2024-01-06 00:45:00,50.36,来自2024年1月文件
71,2024-01-06 00:50:00,55.46,来自2024年1月文件
72,2024-01-06 00:55:00,54.52,来自2024年1月文件
73,2024-01-07 00:00:00,70.63,来自2024年1月文件
74,2024-01-07 00:05:00,142.94,来自2024年1月文件
75,2024-01-07 00:10:00,75.33,来自2024年1月文件
76,2024-01-07 00:15:00,74.39,来自2024年1月文件
77,2024-01-07 00:20:00,75.4,来自2024年1月文件
78,2024-01-07 00:25:00,76.29,来自2024年1月文件
79,2024-01-07 00:30:00,76.63,来自2024年1月文件
80,2024-01-07 00:35:00,90.07,来自2024年1月文件
81,2024-01-07 00:40:00,90.29,来自2024年1月文件
82,2024-01-07 00:45:00,89.95,来自2024年1月文件
83,2024-01-07 00:50:00,76.49,来自2024年1月文件
84,2024-01-07 00:55:00,76.88,来自2024年1月文件
85,2024-01-08 00:00:00,89.63,来自2024年1月文件
86,2024-01-08 00:05:00,88.29,来自2024年1月文件
87,2024-01-08 00:10:00,87.1,来自2024年1月文件
88,2024-01-08 00:15:00,86.41,来自2024年1月文件
89,2024-01-08 00:20:00,87.53,来自2024年1月文件
90,2024-01-08 00:25:00,89.24,来自2024年1月文件
91,2024-01-08 00:30:00,90.86,来自2024年1月文件
92,2024-01-08 00:35:00,94.69,来自2024年1月文件
93,2024-01-08 00:40:00,95.78,来自2024年1月文件
94,2024-01-08 00:45:00,94.27,来自2024年1月文件
95,2024-01-08 00:50:00,93.5,来自2024年1月文件
96,2024-01-08 00:55:00,95.14,来自2024年1月文件
97,2024-01-09 00:00:00,110.95,来自2024年1月文件
98,2024-01-09 00:05:00,110.96,来自2024年1月文件
99,2024-01-09 00:10:00,91.25,来自2024年1月文件
100,2024-01-09 00:15:00,90.93,来自2024年1月文件
101,2024-01-09 00:20:00,93.92,来自2024年1月文件
102,2024-01-09 00:25:00,90.46,来自2024年1月文件
103,2024-01-09 00:30:00,91.52,来自2024年1月文件
104,2024-01-09 00:35:00,94.95,来自2024年1月文件
105,2024-01-09 00:40:00,94.9,来自2024年1月文件
106,2024-01-09 00:45:00,90.5,来自2024年1月文件
107,2024-01-09 00:50:00,89.91,来自2024年1月文件
108,2024-01-09 00:55:00,87.59,来自2024年1月文件
109,2024-01-10 00:00:00,99.99,来自2024年1月文件
110,2024-01-10 00:05:00,100.82,来自2024年1月文件
111,2024-01-10 00:10:00,100.0,来自2024年1月文件
112,2024-01-10 00:15:00,99.99,来自2024年1月文件
113,2024-01-10 00:20:00,99.87,来自2024年1月文件
114,2024-01-10 00:25:00,99.99,来自2024年1月文件
115,2024-01-10 00:30:00,99.98,来自2024年1月文件
116,2024-01-10 00:35:00,99.98,来自2024年1月文件
117,2024-01-10 00:40:00,99.98,来自2024年1月文件
118,2024-01-10 00:45:00,102.9,来自2024年1月文件
119,2024-01-10 00:50:00,99.98,来自2024年1月文件
120,2024-01-10 00:55:00,100.31,来自2024年1月文件
121,2024-01-11 00:00:00,70.7,来自2024年1月文件
122,2024-01-11 00:05:00,73.16,来自2024年1月文件
123,2024-01-11 00:10:00,75.14,来自2024年1月文件
124,2024-01-11 00:15:00,74.54,来自2024年1月文件
125,2024-01-11 00:20:00,69.9,来自2024年1月文件
126,2024-01-11 00:25:00,64.24,来自2024年1月文件
127,2024-01-11 00:30:00,68.85,来自2024年1月文件
128,2024-01-11 00:35:00,71.57,来自2024年1月文件
129,2024-01-11 00:40:00,73.39,来自2024年1月文件
130,2024-01-11 00:45:00,72.35,来自2024年1月文件
131,2024-01-11 00:50:00,65.59,来自2024年1月文件
132,2024-01-11 00:55:00,65.57,来自2024年1月文件
133,2024-01-12 00:00:00,79.33,来自2024年1月文件
134,2024-01-12 00:05:00,70.71,来自2024年1月文件
135,2024-01-12 00:10:00,72.21,来自2024年1月文件
136,2024-01-12 00:15:00,64.42,来自2024年1月文件
137,2024-01-12 00:20:00,64.22,来自2024年1月文件
138,2024-01-12 00:25:00,63.56,来自2024年1月文件
139,2024-01-12 00:30:00,72.93,来自2024年1月文件
140,2024-01-12 00:35:00,64.88,来自2024年1月文件
141,2024-01-12 00:40:00,65.21,来自2024年1月文件
142,2024-01-12 00:45:00,65.21,来自2024年1月文件
143,2024-01-12 00:50:00,72.38,来自2024年1月文件
144,2024-01-12 00:55:00,72.95,来自2024年1月文件
145,2024-01-13 00:00:00,70.77,来自2024年1月文件
146,2024-01-13 00:05:00,73.18,来自2024年1月文件
147,2024-01-13 00:10:00,71.82,来自2024年1月文件
148,2024-01-13 00:15:00,71.79,来自2024年1月文件
149,2024-01-13 00:20:00,67.49,来自2024年1月文件
150,2024-01-13 00:25:00,65.96,来自2024年1月文件
151,2024-01-13 00:30:00,67.96,来自2024年1月文件
152,2024-01-13 00:35:00,74.86,来自2024年1月文件
153,2024-01-13 00:40:00,88.35,来自2024年1月文件
154,2024-01-13 00:45:00,89.41,来自2024年1月文件
155,2024-01-13 00:50:00,79.34,来自2024年1月文件
156,2024-01-13 00:55:00,78.79,来自2024年1月文件
157,2024-01-14 00:00:00,22.07,来自2024年1月文件
158,2024-01-14 00:05:00,22.61,来自2024年1月文件
159,2024-01-14 00:10:00,5.9,来自2024年1月文件
160,2024-01-14 00:15:00,23.28,来自2024年1月文件
161,2024-01-14 00:20:00,22.48,来自2024年1月文件
162,2024-01-14 00:25:00,17.89,来自2024年1月文件
163,2024-01-14 00:30:00,22.97,来自2024年1月文件
164,2024-01-14 00:35:00,22.43,来自2024年1月文件
165,2024-01-14 00:40:00,22.68,来自2024年1月文件
166,2024-01-14 00:45:00,8.39,来自2024年1月文件
167,2024-01-14 00:50:00,8.44,来自2024年1月文件
168,2024-01-14 00:55:00,8.26,来自2024年1月文件
169,2024-01-15 00:00:00,9.4,来自2024年1月文件
170,2024-01-15 00:05:00,19.81,来自2024年1月文件
171,2024-01-15 00:10:00,20.51,来自2024年1月文件
172,2024-01-15 00:15:00,9.35,来自2024年1月文件
173,2024-01-15 00:20:00,9.21,来自2024年1月文件
174,2024-01-15 00:25:00,8.03,来自2024年1月文件
175,2024-01-15 00:30:00,9.17,来自2024年1月文件
176,2024-01-15 00:35:00,9.26,来自2024年1月文件
177,2024-01-15 00:40:00,13.99,来自2024年1月文件
178,2024-01-15 00:45:00,9.31,来自2024年1月文件
179,2024-01-15 00:50:00,9.41,来自2024年1月文件
180,2024-01-15 00:55:00,9.26,来自2024年1月文件
181,2024-01-16 00:00:00,52.28,来自2024年1月文件
182,2024-01-16 00:05:00,53.19,来自2024年1月文件
183,2024-01-16 00:10:00,81.15,来自2024年1月文件
184,2024-01-16 00:15:00,58.72,来自2024年1月文件
185,2024-01-16 00:20:00,54.61,来自2024年1月文件
186,2024-01-16 00:25:00,49.96,来自2024年1月文件
187,2024-01-16 00:30:00,38.5,来自2024年1月文件
188,2024-01-16 00:35:00,53.37,来自2024年1月文件
189,2024-01-16 00:40:00,41.28,来自2024年1月文件
190,2024-01-16 00:45:00,41.7,来自2024年1月文件
191,2024-01-16 00:50:00,42.73,来自2024年1月文件
192,2024-01-16 00:55:00,42.53,来自2024年1月文件
193,2024-01-17 00:00:00,39.76,来自2024年1月文件
194,2024-01-17 00:05:00,53.76,来自2024年1月文件
195,2024-01-17 00:10:00,53.37,来自2024年1月文件
196,2024-01-17 00:15:00,42.2,来自2024年1月文件
197,2024-01-17 00:20:00,38.12,来自2024年1月文件
198,2024-01-17 00:25:00,42.22,来自2024年1月文件
199,2024-01-17 00:30:00,34.17,来自2024年1月文件
200,2024-01-17 00:35:00,30.49,来自2024年1月文件
201,2024-01-17 00:40:00,27.85,来自2024年1月文件
202,2024-01-17 00:45:00,29.32,来自2024年1月文件
203,2024-01-17 00:50:00,31.88,来自2024年1月文件
204,2024-01-17 00:55:00,23.79,来自2024年1月文件
205,2024-01-18 00:00:00,71.23,来自2024年1月文件
206,2024-01-18 00:05:00,60.75,来自2024年1月文件
207,2024-01-18 00:10:00,68.98,来自2024年1月文件
208,2024-01-18 00:15:00,58.89,来自2024年1月文件
209,2024-01-18 00:20:00,58.41,来自2024年1月文件
210,2024-01-18 00:25:00,51.14,来自2024年1月文件
211,2024-01-18 00:30:00,53.92,来自2024年1月文件
212,2024-01-18 00:35:00,54.42,来自2024年1月文件
213,2024-01-18 00:40:00,53.28,来自2024年1月文件
214,2024-01-18 00:45:00,55.03,来自2024年1月文件
215,2024-01-18 00:50:00,54.79,来自2024年1月文件
216,2024-01-18 00:55:00,54.59,来自2024年1月文件
217,2024-01-19 00:00:00,29.44,来自2024年1月文件
218,2024-01-19 00:05:00,34.74,来自2024年1月文件
219,2024-01-19 00:10:00,34.95,来自2024年1月文件
220,2024-01-19 00:15:00,33.86,来自2024年1月文件
221,2024-01-19 00:20:00,33.54,来自2024年1月文件
222,2024-01-19 00:25:00,33.74,来自2024年1月文件
223,2024-01-19 00:30:00,31.0,来自2024年1月文件
224,2024-01-19 00:35:00,32.99,来自2024年1月文件
225,2024-01-19 00:40:00,35.61,来自2024年1月文件
226,2024-01-19 00:45:00,38.57,来自2024年1月文件
227,2024-01-19 00:50:00,35.73,来自2024年1月文件
228,2024-01-19 00:55:00,37.09,来自2024年1月文件
229,2024-01-20 00:00:00,56.45,来自2024年1月文件
230,2024-01-20 00:05:00,71.16,来自2024年1月文件
231,2024-01-20 00:10:00,71.56,来自2024年1月文件
232,2024-01-20 00:15:00,69.02,来自2024年1月文件
233,2024-01-20 00:20:00,63.9,来自2024年1月文件
234,2024-01-20 00:25:00,61.41,来自2024年1月文件
235,2024-01-20 00:30:00,61.41,来自2024年1月文件
236,2024-01-20 00:35:00,64.44,来自2024年1月文件
237,2024-01-20 00:40:00,61.0,来自2024年1月文件
238,2024-01-20 00:45:00,69.46,来自2024年1月文件
239,2024-01-20 00:50:00,50.66,来自2024年1月文件
240,2024-01-20 00:55:00,58.55,来自2024年1月文件
241,2024-01-21 00:00:00,63.39,来自2024年1月文件
242,2024-01-21 00:05:00,59.3,来自2024年1月文件
243,2024-01-21 00:10:00,84.48,来自2024年1月文件
244,2024-01-21 00:15:00,67.08,来自2024年1月文件
245,2024-01-21 00:20:00,76.34,来自2024年1月文件
246,2024-01-21 00:25:00,67.52,来自2024年1月文件
247,2024-01-21 00:30:00,64.87,来自2024年1月文件
248,2024-01-21 00:35:00,80.29,来自2024年1月文件
249,2024-01-21 00:40:00,73.9,来自2024年1月文件
250,2024-01-21 00:45:00,62.87,来自2024年1月文件
251,2024-01-21 00:50:00,63.84,来自2024年1月文件
252,2024-01-21 00:55:00,63.35,来自2024年1月文件
253,2024-01-22 00:00:00,38.77,来自2024年1月文件
254,2024-01-22 00:05:00,49.51,来自2024年1月文件
255,2024-01-22 00:10:00,49.51,来自2024年1月文件
256,2024-01-22 00:15:00,41.97,来自2024年1月文件
257,2024-01-22 00:20:00,47.57,来自2024年1月文件
258,2024-01-22 00:25:00,49.51,来自2024年1月文件
259,2024-01-22 00:30:00,45.68,来自2024年1月文件
260,2024-01-22 00:35:00,36.58,来自2024年1月文件
261,2024-01-22 00:40:00,33.57,来自2024年1月文件
262,2024-01-22 00:45:00,35.84,来自2024年1月文件
263,2024-01-22 00:50:00,33.87,来自2024年1月文件
264,2024-01-22 00:55:00,32.86,来自2024年1月文件
265,2024-01-23 00:00:00,45.99,来自2024年1月文件
266,2024-01-23 00:05:00,37.72,来自2024年1月文件
267,2024-01-23 00:10:00,46.72,来自2024年1月文件
268,2024-01-23 00:15:00,38.65,来自2024年1月文件
269,2024-01-23 00:20:00,38.46,来自2024年1月文件
270,2024-01-23 00:25:00,46.29,来自2024年1月文件
271,2024-01-23 00:30:00,45.99,来自2024年1月文件
272,2024-01-23 00:35:00,37.89,来自2024年1月文件
273,2024-01-23 00:40:00,45.99,来自2024年1月文件
274,2024-01-23 00:45:00,38.27,来自2024年1月文件
275,2024-01-23 00:50:00,45.99,来自2024年1月文件
276,2024-01-23 00:55:00,39.76,来自2024年1月文件
277,2024-01-24 00:00:00,99.98,来自2024年1月文件
278,2024-01-24 00:05:00,99.98,来自2024年1月文件
279,2024-01-24 00:10:00,99.98,来自2024年1月文件
280,2024-01-24 00:15:00,99.98,来自2024年1月文件
281,2024-01-24 00:20:00,99.99,来自2024年1月文件
282,2024-01-24 00:25:00,99.98,来自2024年1月文件
283,2024-01-24 00:30:00,99.98,来自2024年1月文件
284,2024-01-24 00:35:00,53.4,来自2024年1月文件
285,2024-01-24 00:40:00,99.98,来自2024年1月文件
286,2024-01-24 00:45:00,99.98,来自2024年1月文件
287,2024-01-24 00:50:00,99.98,来自2024年1月文件
288,2024-01-24 00:55:00,99.98,来自2024年1月文件
289,2024-01-25 00:00:00,220.7,来自2024年1月文件
290,2024-01-25 00:05:00,225.0,来自2024年1月文件
291,2024-01-25 00:10:00,299.98,来自2024年1月文件
292,2024-01-25 00:15:00,175.98,来自2024年1月文件
293,2024-01-25 00:20:00,271.44,来自2024年1月文件
294,2024-01-25 00:25:00,276.63,来自2024年1月文件
295,2024-01-25 00:30:00,299.98,来自2024年1月文件
296,2024-01-25 00:35:00,240.01,来自2024年1月文件
297,2024-01-25 00:40:00,229.98,来自2024年1月文件
298,2024-01-25 00:45:00,229.98,来自2024年1月文件
299,2024-01-25 00:50:00,225.0,来自2024年1月文件
300,2024-01-25 00:55:00,225.0,来自2024年1月文件
301,2024-01-26 00:00:00,55.12,来自2024年1月文件
302,2024-01-26 00:05:00,58.34,来自2024年1月文件
303,2024-01-26 00:10:00,45.83,来自2024年1月文件
304,2024-01-26 00:15:00,57.81,来自2024年1月文件
305,2024-01-26 00:20:00,59.24,来自2024年1月文件
306,2024-01-26 00:25:00,59.7,来自2024年1月文件
307,2024-01-26 00:30:00,60.2,来自2024年1月文件
308,2024-01-26 00:35:00,65.89,来自2024年1月文件
309,2024-01-26 00:40:00,62.63,来自2024年1月文件
310,2024-01-26 00:45:00,63.29,来自2024年1月文件
311,2024-01-26 00:50:00,64.79,来自2024年1月文件
312,2024-01-26 00:55:00,56.23,来自2024年1月文件
313,2024-01-27 00:00:00,37.82,来自2024年1月文件
314,2024-01-27 00:05:00,42.86,来自2024年1月文件
315,2024-01-27 00:10:00,43.59,来自2024年1月文件
316,2024-01-27 00:15:00,35.46,来自2024年1月文件
317,2024-01-27 00:20:00,43.58,来自2024年1月文件
318,2024-01-27 00:25:00,43.53,来自2024年1月文件
319,2024-01-27 00:30:00,43.91,来自2024年1月文件
320,2024-01-27 00:35:00,40.1,来自2024年1月文件
321,2024-01-27 00:40:00,58.86,来自2024年1月文件
322,2024-01-27 00:45:00,49.43,来自2024年1月文件
323,2024-01-27 00:50:00,48.39,来自2024年1月文件
324,2024-01-27 00:55:00,60.43,来自2024年1月文件
325,2024-01-28 00:00:00,49.51,来自2024年1月文件
326,2024-01-28 00:05:00,64.2,来自2024年1月文件
327,2024-01-28 00:10:00,87.89,来自2024年1月文件
328,2024-01-28 00:15:00,61.83,来自2024年1月文件
329,2024-01-28 00:20:00,52.15,来自2024年1月文件
330,2024-01-28 00:25:00,52.47,来自2024年1月文件
331,2024-01-28 00:30:00,41.73,来自2024年1月文件
332,2024-01-28 00:35:00,52.59,来自2024年1月文件
333,2024-01-28 00:40:00,57.71,来自2024年1月文件
334,2024-01-28 00:45:00,53.87,来自2024年1月文件
335,2024-01-28 00:50:00,29.58,来自2024年1月文件
336,2024-01-28 00:55:00,50.29,来自2024年1月文件
337,2024-01-29 00:00:00,99.98,来自2024年1月文件
338,2024-01-29 00:05:00,99.98,来自2024年1月文件
339,2024-01-29 00:10:00,99.98,来自2024年1月文件
340,2024-01-29 00:15:00,139.44,来自2024年1月文件
341,2024-01-29 00:20:00,99.98,来自2024年1月文件
342,2024-01-29 00:25:00,99.98,来自2024年1月文件
343,2024-01-29 00:30:00,99.98,来自2024年1月文件
344,2024-01-29 00:35:00,99.98,来自2024年1月文件
345,2024-01-29 00:40:00,139.44,来自2024年1月文件
346,2024-01-29 00:45:00,99.98,来自2024年1月文件
347,2024-01-29 00:50:00,139.44,来自2024年1月文件
348,2024-01-29 00:55:00,175.98,来自2024年1月文件
349,2024-01-30 00:00:00,82.14,来自2024年1月文件
350,2024-01-30 00:05:00,82.14,来自2024年1月文件
351,2024-01-30 00:10:00,83.54,来自2024年1月文件
352,2024-01-30 00:15:00,78.51,来自2024年1月文件
353,2024-01-30 00:20:00,65.33,来自2024年1月文件
354,2024-01-30 00:25:00,55.87,来自2024年1月文件
355,2024-01-30 00:30:00,90.09,来自2024年1月文件
356,2024-01-30 00:35:00,90.09,来自2024年1月文件
357,2024-01-30 00:40:00,99.98,来自2024年1月文件
358,2024-01-30 00:45:00,99.98,来自2024年1月文件
359,2024-01-30 00:50:00,379.95,来自2024年1月文件
360,2024-01-30 00:55:00,99.98,来自2024年1月文件
361,2024-01-31 00:00:00,34.81,来自2024年1月文件
362,2024-01-31 00:05:00,33.71,来自2024年1月文件
363,2024-01-31 00:10:00,34.69,来自2024年1月文件
364,2024-01-31 00:15:00,34.97,来自2024年1月文件
365,2024-01-31 00:20:00,34.71,来自2024年1月文件
366,2024-01-31 00:25:00,33.55,来自2024年1月文件
367,2024-01-31 00:30:00,34.96,来自2024年1月文件
368,2024-01-31 00:35:00,33.8,来自2024年1月文件
369,2024-01-31 00:40:00,34.97,来自2024年1月文件
370,2024-01-31 00:45:00,34.84,来自2024年1月文件
371,2024-01-31 00:50:00,35.09,来自2024年1月文件
372,2024-01-31 00:55:00,35.22,来自2024年1月文件
